Metabolite Name,PubChem,SMILES
"N,O-Bis(trimethylsilyl)carbamate",3015764.0,C[Si](C)(C)NC(=O)O[Si](C)(C)C
Naphthofluorescein,3124834.0,C1=CC=C2C(=C1)C(=O)OC23C4=C(C5=C(C=C4)C=C(C=C5)O)OC6=C3C=CC7=C6C=CC(=C7)O
Neostigmine,4456.0,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C
Niacin,938.0,C1=CC(=CN=C1)C(=O)O
Niacinamide,936.0,C1=CC(=CN=C1)C(=O)N
Niclosamide,4477.0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
Nitrosothymol,75393.0,CC1=CC(=C(C=C1N=O)C(C)C)O
Nonadecanoic acid,12591.0,CCCCCCCCCCCCCCCCCCC(=O)O
Norketamine,123767.0,C1CCC(C(=O)C1)(C2=CC=CC=C2Cl)N
"O-Methyl-N,N'-diisopropylisourea ",383824.0,CC(C)NC(=NC(C)C)OC
Octan-2-yl palmitate,19825814.0,CCCCCCCCCCCCCCCC(=O)OC(C)CCCCCC
"Octane, 1-propoxy-",520430.0,CCCCCCCCOCCC
Octanoic acid,379.0,CCCCCCCC(=O)O
Octocrylene,22571.0,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N
Octopamine,4581.0,C1=CC(=CC=C1C(CN)O)O
Ornithine,6262.0,C(C[C@@H](C(=O)O)N)CN
Oxalic acid,971.0,C(=O)(C(=O)O)O
p-Hydroxydiisopropylbenzene,18935.0,CC(C)C1=CC=C(C=C1)C(C)(C)O
p-Toluic acid,7470.0,CC1=CC=C(C=C1)C(=O)O
Palmitelaidic acid,5282745.0,CCCCCC/C=C/CCCCCCCC(=O)O
Palmitic Acid,985.0,CCCCCCCCCCCCCCCC(=O)O
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",,
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",,
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",,
Pentylone,60208608.0,CCCC(C(=O)C1=CC2=C(C=C1)OCO2)NC
"Phenol, 3,5-bis(1,1-dimethylethyl)-",70825.0,CC(C)(C)C1=CC(=CC(=C1)O)C(C)(C)C
Phenoxyacetic acid,19188.0,C1=CC=C(C=C1)OCC(=O)O
Phenylalanine,6140.0,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Phenylpropanolamine,10297.0,C[C@@H]([C@@H](C1=CC=CC=C1)O)N
Phlorizin,6072.0,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
Phloroglucinol,359.0,C1=C(C=C(C=C1O)O)O
Phosalone,4793.0,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O
Phthalazin-1-one,8394.0,C1=CC=C2C(=C1)C=NNC2=O
Pimelic acid,385.0,C(CCC(=O)O)CCC(=O)O
Pipecolic acid,849.0,C1CCNC(C1)C(=O)O
"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",,
"Propanetriol, 2-methyl-",,
"Propanoic acid, 2-methyl-",6590.0,CC(C)C(=O)O
"Propiophenone, 3',4'-dimethoxy-",15781.0,CCC(=O)C1=CC(=C(C=C1)OC)OC
Propylamine,7852.0,CCCN
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",,
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",81705.0,CC1=CN=C(N=C1O[Si](C)(C)C)O[Si](C)(C)C
Pyrrole-2-carboxylic acid,12473.0,C1=CNC(=C1)C(=O)O
Quazodine,19918.0,CCC1=NC=NC2=CC(=C(C=C21)OC)OC
Ribitol,6912.0,C([C@H](C([C@H](CO)O)O)O)O
"Ribonic acid, 2,3,4,5-tetrakis-",,
S-Methyl-L-cysteine,24417.0,CSC[C@@H](C(=O)O)N
Salsoline,40010.0,C[C@@H]1C2=CC(=C(C=C2CCN1)O)OC
Ser-Leu,7015695.0,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](CO)N
Sertraline carbamoyl glucuronide,71752187.0,CN([C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl)C(=O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O
Stearic acid,5281.0,CCCCCCCCCCCCCCCCCC(=O)O
"Stigmast-5-ene, 3beta-",,
Suberic acid,10457.0,C(CCCC(=O)O)CCC(=O)O
Succinic anhydride,7922.0,C1CC(=O)OC1=O
"Tacrine, N-trimethylsilyl-",,
"Talonic acid, gamma-lactone",,
Tartronic acid,45.0,C(C(=O)O)(C(=O)O)O
Tetradecanenitrile,64678.0,CCCCCCCCCCCCCC#N
"Thiazolo[4,5-f]quinoline, 2,9-dimethyl-",611805.0,CC1=C2C(=NC=C1)C=CC3=C2N=C(S3)C
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",553578.0,CC1=C(N(C(=O)N(C1=O)C)C)CO[Si](C)(C)C
Tributyl acetylcitrate,6505.0,CCCCOC(=O)CC(CC(=O)OCCCC)(C(=O)OCCCC)OC(=O)C
Triethanolamine,7618.0,C(CO)N(CCO)CCO
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",91733438.0,C[Si](C)(C)OC(=O)CC1C(=O)NC(C(=O)N1)CC2=CC=CC=C2
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,637748.0,C[Si](C)(C)OC(=O)CCS[Si](C)(C)C
Trimethylsilyl oct-2-enoate,533405.0,CCCCCC=CC(=O)O[Si](C)(C)C
Trimidox,135409350.0,C1=C(C=C(C(=C1O)O)O)/C(=N/O)/N
Trisaminol,6503.0,C(C(CO)(CO)N)O
L-Tyrosine,6057.0,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
Uracil,1174.0,C1=CNC(=O)NC1=O
Vanillylmandelic acid,1245.0,COC1=C(C=CC(=C1)C(C(=O)O)O)O
Xylazine,5707.0,CC1=C(C(=CC=C1)C)NC2=NCCCS2
Xylitol,6912.0,C([C@H](C([C@H](CO)O)O)O)O
Xylose,135191.0,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
Syringaldehyde,8655.0,COC1=CC(=CC(=C1O)OC)C=O
D-(+)-Glucosamine,,
2-Ethylacetoacetate,,
L-Valyl-L-leucine,6993118.0,CC(C)C[C@@H](C(=O)O)NC(=O)[C@H](C(C)C)N
2-Ethylhexanoic acid,8697.0,CCCCC(CC)C(=O)O
d-Erythrotetrofuranose,,
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",,
Hydracrylic acid,68152.0,C(CO)C(=O)O
Phenylalanine,6140.0,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
Serine,5951.0,C([C@@H](C(=O)O)N)O
1-Octadecanol,8221.0,CCCCCCCCCCCCCCCCCCO
"Propanoic acid, 2-oxo",,
2'-Deoxyribolactone,161815.0,C1[C@@H]([C@H](OC1=O)CO)O
9-Octadecenoic acid,965.0,CCCCCCCCC=CCCCCCCCC(=O)O
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",543807.0,CC1CCCC(CCC(CC1)C(C)C)C
Phenol,996.0,C1=CC=C(C=C1)O
Methylsuccinic acid,10349.0,CC(CC(=O)O)C(=O)O
L-Isoleucine,6306.0,CC[C@H](C)[C@@H](C(=O)O)N
Tricine,79784.0,C(C(=O)O)NC(CO)(CO)CO
L-Valine,6287.0,CC(C)[C@@H](C(=O)O)N
L-Rhamnose,25310.0,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O
Vanillin,1183.0,COC1=C(C=CC(=C1)C=O)O
Urea,1176.0,C(=O)(N)N
D-(-)-Fructofuranose,,
Tripropylene glycol monomethyl ether,30111.0,CC(COC(C)COC(C)COC)O
L-Serine,5951.0,C([C@@H](C(=O)O)N)O
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,644022.0,CCCCCC1=CC(=C2[C@@H]3C=C(CC[C@H]3C(OC2=C1)(C)C)CO)O
3-Pyridylcarbinol,7510.0,C1=CC(=CN=C1)CO
Cytosine,597.0,C1=C(NC(=O)N=C1)N
L-Aspartic acid,5960.0,C([C@@H](C(=O)O)N)C(=O)O
Suberic acid,10457.0,C(CCCC(=O)O)CCC(=O)O
Supraene,638072.0,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C
4-Hydroxybenzaldehyde,126.0,C1=CC(=CC=C1C=O)O
Butyl Succinate,78829.0,CCCCOC(=O)CCC(=O)O
L-Threonine,6288.0,C[C@H]([C@@H](C(=O)O)N)O
Methylmaleic acid,643798.0,C/C(=C/C(=O)O)/C(=O)O
Benzoic Acid,243.0,C1=CC=C(C=C1)C(=O)O
N-(2-hydroxyethyl)-succinimide,236334.0,C1CC(=O)N(C1=O)CCO
Itaconic acid,811.0,C=C(CC(=O)O)C(=O)O
1-Dodecanol,8193.0,CCCCCCCCCCCCO
1-Octanol,957.0,CCCCCCCCO
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",,
Pyrrole-2-carboxylic acid,12473.0,C1=CNC(=C1)C(=O)O
Salsoline,40010.0,C[C@@H]1C2=CC(=C(C=C2CCN1)O)OC
Cyclohexanemethanol,7507.0,C1CCC(CC1)CO
"cis-4,5-Dihydroxy-o-dithiane",,
4-Hydroxybenzoic acid,135.0,C1=CC(=CC=C1C(=O)O)O
Pimelic acid,385.0,C(CCC(=O)O)CCC(=O)O
2-Piperidinone,12665.0,C1CCNC(=O)C1
beta-Alanine,239.0,C(CN)C(=O)O
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",,
"Gluconolactone (3R,4S,5R,6R)",,
L-Leucine,6106.0,CC(C)C[C@@H](C(=O)O)N
trans-Coniferryl alchool,,
Pentanedioic acid,743.0,C(CC(=O)O)CC(=O)O
3-Undecene,5362751.0,CCCCCCC/C=C/CC
"Butanoic acid, 3,4-dihydroxy-",150929.0,C(C(CO)O)C(=O)O
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,,
Arabinose,439195.0,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
"N-Acetyl-D-galactosamine, (R,R,R,R)",,
3-Deoxyhexitol,560035.0,C(C(CO)O)C(C(CO)O)O
4-Methyl-5-thiazoleethanol,1136.0,CC1=C(SC=N1)CCO
Cyclohexanecarboxylic acid,7413.0,C1CCC(CC1)C(=O)O
"Azetidine, 1-acetyl-2-methyl",537224.0,CC1CCN1C(=O)C
2-Pyrrolidinone,12025.0,C1CC(=O)NC1
D-(-)-Fructopyranose,,
5-Methyluridine,445408.0,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
1-Tetradecanol,8209.0,CCCCCCCCCCCCCCO
2-Hydroxy-3-methylbutyric acid,99823.0,CC(C)C(C(=O)O)O
Deoxyribopyranose,,
Picolinic acid,1018.0,C1=CC=NC(=C1)C(=O)O
L-Proline,145742.0,C1C[C@H](NC1)C(=O)O
Butyl caprylate,11517.0,CCCCCCCC(=O)OCCCC
DL-Phenylalanine,994.0,C1=CC=C(C=C1)CC(C(=O)O)N
"2,3-Butanediol",262.0,CC(C(C)O)O
"Inosose-2, myo",,
"2,5-Di-tert-butyl-4-hydroxyphenol",,
L-Norvaline,65098.0,CCC[C@@H](C(=O)O)N
2'-Desoxyuridine,13712.0,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O
N-Acetyl glucosamine methoxime,,
pyrazole,1048.0,C1=CNN=C1
Norketamine,123767.0,C1CCC(C(=O)C1)(C2=CC=CC=C2Cl)N
"Hexadecanoic acid, 4-hydroxybutyl ester",205694.0,CCCCCCCCCCCCCCCC(=O)OCCCCO
"2',2,3,6'-Tetramethoxychalcone",24208768.0,COC1=C(C(=CC=C1)OC)C(=O)/C=C/C2=C(C(=CC=C2)OC)OC
3-Hexenedioic acid,5351896.0,C(/C=C/CC(=O)O)C(=O)O
Octadecyl octyl ether,87077647.0,CCCCCCCCCCCCCCCCCCOCCCCCCCC
Pipecolic acid,849.0,C1CCNC(C1)C(=O)O
"2-Pentenedioic acid, 2-hydroxy-",,
Thymidine,5789.0,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O
2-Aminobutanoic acid,6657.0,CCC(C(=O)O)N
D-Psicofuranose,11378852.0,C([C@@H]1[C@H]([C@H](C(O1)(CO)O)O)O)O
"2-Butenoic acid, 2-hydroxy-",,
Pentanoic acid,7991.0,CCCCC(=O)O
9H-Purin-6-ol,135398638.0,C1=NC2=C(N1)C(=O)NC=N2
"2,3,4-Trihydroxybutyric acid",439535.0,C(C(C(C(=O)O)O)O)O
N-Acetylglucosamine,1738118.0,CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O
Aconitic acid,309.0,C(C(=CC(=O)O)C(=O)O)C(=O)O
"2,4-Di-tert-butylphenol",7311.0,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",91733438.0,C[Si](C)(C)OC(=O)CC1C(=O)NC(C(=O)N1)CC2=CC=CC=C2
"2-Allyl-1,4-dimethoxybenzene ",92534.0,COC1=CC(=C(C=C1)OC)CC=C
L-Glutamic acid,33032.0,C(CC(=O)O)[C@@H](C(=O)O)N
Xanthine,1188.0,C1=NC2=C(N1)C(=O)NC(=O)N2
D-Glucose,5793.0,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Tetrahydrogeranyl formate,109224.0,CC(C)CCCC(C)CCOC=O
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",5376991.0,CC1(C/C(=C(\C#N)/C2=NC(=C)C(C2)(C)C)/NC1=C)C
D-Allofuranose,21145993.0,C([C@H]([C@@H]1[C@H]([C@H](C(O1)O)O)O)O)O
"D-(+)-Ribono-1,4-lactone ",111064.0,C([C@@H]1[C@H]([C@H](C(=O)O1)O)O)O
Uracil,1174.0,C1=CNC(=O)NC1=O
l-Leucyl-l-valine,6993116.0,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N
Undecanoic acid,8180.0,CCCCCCCCCCC(=O)O
beta-D-(-)-Ribopyranose,,
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",,
3-Buten-2-one,6570.0,CC(=O)C=C
3-O-methyl-beta-D-Glucopyranose,11869260.0,CO[C@H]1[C@@H]([C@H](O[C@H]([C@@H]1O)O)CO)O
Decyl oleate,5363234.0,CCCCCCCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC
Hydroquinone,785.0,C1=CC(=CC=C1O)O
Xylazine,5707.0,CC1=C(C(=CC=C1)C)NC2=NCCCS2
"Erythrono-1,4-lactone",5325915.0,C1[C@H]([C@H](C(=O)O1)O)O
L-(-)-Sorbofuranose,,
Niacinamide,936.0,C1=CC(=CN=C1)C(=O)N
N-Methyl-alpha-aminoisobutyric acid,75725.0,CC(C)(C(=O)O)NC
"Guanidine, N,N-dimethyl",,
3-(3-Hydroxyphenyl)propanoic acid,91.0,C1=CC(=CC(=C1)O)CCC(=O)O
Lignoceric acid,11197.0,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O
Pyrogallol,1057.0,C1=CC(=C(C(=C1)O)O)O
beta-Arabinopyranose,,
"1,4-Butanediol",8064.0,C(CCO)CO
"Arabinofuranose, 1,2,3,5-tetrakis",,
Ethyl alpha-D-glucopyranoside,9815668.0,CCO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",,
Thr-Leu,7021828.0,C[C@H]([C@@H](C(=O)N[C@@H](CC(C)C)C(=O)O)N)O
Menthol,1254.0,CC1CCC(C(C1)O)C(C)C
Pentadecanoic acid,13849.0,CCCCCCCCCCCCCCC(=O)O
6-Hydroxyhexanoic acid,14490.0,C(CCC(=O)O)CCO
Dihydrouracil,649.0,C1CNC(=O)NC1=O
D-(-)-Ribofuranose,,
Decanoic acid,2969.0,CCCCCCCCCC(=O)O
Ribonic acid,5460677.0,C([C@H]([C@H]([C@H](C(=O)O)O)O)O)O
D-Ribose,10975657.0,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
Hymexazole,24781.0,CC1=CC(=O)NO1
Glycerol tricaprylate,10850.0,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
N-Acetyl-L-glutamic acid,70914.0,CC(=O)N[C@@H](CCC(=O)O)C(=O)O
Monolaurin,14871.0,CCCCCCCCCCCC(=O)OCC(CO)O
Phloretic acid,10394.0,C1=CC(=CC=C1CCC(=O)O)O
L-5-Oxoproline,7405.0,C1CC(=O)N[C@@H]1C(=O)O
Tyrosine,6057.0,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
4-Pyridinol,12290.0,C1=CNC=CC1=O
5-Hydroxymethyl-2-furoic acid,80642.0,C1=C(OC(=C1)C(=O)O)CO
alpha-Tocopheryl acetate,86472.0,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)C)C
Citric acid,311.0,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
5-Oxohexanoic Acid,18407.0,CC(=O)CCCC(=O)O
9-Octadecenamide,1930.0,CCCCCCCCC=CCCCCCCCC(=O)N
alpha-Linolenic acid,5280934.0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
Deoxycholic Acid,222528.0,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
D-Fructose,2723872.0,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
Glyceric acid,752.0,C(C(C(=O)O)O)O
Octanoic acid,379.0,CCCCCCCC(=O)O
Sebacic acid,5192.0,C(CCCCC(=O)O)CCCC(=O)O
"Acetamide, N-(2-butyl)-N-methyl-",,
Idoxuridine,5905.0,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)I)CO)O
L-(+)-Lactic acid,107689.0,C[C@@H](C(=O)O)O
Xylose,135191.0,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
"2,5-Dimethoxyphenol",5314498.0,COC1=CC(=C(C=C1)OC)O
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",11029884.0,CC1(OCC(CO1)O)C
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,4635870.0,C1C(C(OC1=O)CO)O
Palmitic Acid,985.0,CCCCCCCCCCCCCCCC(=O)O
13-Docosenamide,8214.0,CCCCCCCCC=CCCCCCCCCCCCC(=O)N
17-alpha-Hydroxypregnenolone,91451.0,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)O
"3-Hydroxy-2,3-dihydromaltol",119838.0,CC1=C(C(=O)C(CO1)O)O
8-Hydroxy-5-(hydroxymethyl)quinoline,,
D-Mannopyranose,18950.0,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
Uridine,6029.0,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O
3-Aminobutanoic acid,10932.0,CC(CC(=O)O)N
Erythritol,222285.0,C([C@H]([C@H](CO)O)O)O
"2,5-Dimethoxybenzhydrazide",140304.0,COC1=CC(=C(C=C1)OC)C(=O)NN
Cyclohexanol,7966.0,C1CCC(CC1)O
"Hexadecanoic acid, tetradecyl ester",78294.0,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC
Monomethyl succinate,77487.0,COC(=O)CCC(=O)O
"2-Furanacetaldehyde, tetrahydro-alpha",,
Niacin,938.0,C1=CC(=CN=C1)C(=O)O
Nonanoic acid,8158.0,CCCCCCCCC(=O)O
Myristic acid,11005.0,CCCCCCCCCCCCCC(=O)O
"beta-D-Galactopyranoside, methyl-, acetate",,
"Propane, 2-methyl",6360.0,CC(C)C
"Xylonic acid, delta-lactone",,
1-Monopalmitin,14900.0,CCCCCCCCCCCCCCCC(=O)OCC(CO)O
3-Hydroxyisovaleric acid,69362.0,CC(C)(CC(=O)O)O
3-Methyl-2-furoic acid,78127.0,CC1=C(OC=C1)C(=O)O
Pyridoxic acid,6723.0,CC1=NC=C(C(=C1O)C(=O)O)CO
1-Hexacosene,29303.0,CCCCCCCCCCCCCCCCCCCCCCCCC=C
N-Methyl-L-proline,643474.0,CN1CCC[C@H]1C(=O)O
"Pentitol, 3-desoxy",,
1-Methyl-4-hydroxy-1H-imidazol-2-amine,,
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",,
Glycerol,753.0,C(C(CO)O)O
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",,
1-Hexanol,8103.0,CCCCCCO
3-Hydroxybutyric acid,441.0,CC(CC(=O)O)O
Cholesterol,5997.0,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
D-(+)-Talofuranose,,
"D-Erythro-Pentitol, 2-deoxy-",,
Glycolic acid,757.0,C(C(=O)O)O
Deoxyglucose,108223.0,C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O
1-Tetracosene,82436.0,CCCCCCCCCCCCCCCCCCCCCCC=C
Dihydroxyacetone,670.0,C(C(=O)CO)O
Hexacosanoic acid,10469.0,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O
12-Oxooctadecanoate,17968486.0,CCCCCCC(=O)CCCCCCCCCCC(=O)[O-]
4-Hydroxyphenyllactic acid,9378.0,C1=CC(=CC=C1CC(C(=O)O)O)O
Arabinitol,94154.0,C([C@H](C([C@@H](CO)O)O)O)O
Butanedioic acid,1110.0,C(CC(=O)O)C(=O)O
Ketamine,3821.0,CNC1(CCCCC1=O)C2=CC=CC=C2Cl
L-Glutamine,5961.0,C(CC(=O)N)[C@@H](C(=O)O)N
"1-Propanamine, N,N-diethyl-",78206.0,CCCN(CC)CC
alpha-L-(-)-Fucopyranose,,
Azelaic acid,2266.0,C(CCCC(=O)O)CCCC(=O)O
Campesterol,173183.0,C[C@H](CC[C@@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
"D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate",,
3-Hydroxypicolinic acid,13401.0,C1=CC(=C(N=C1)C(=O)O)O
Ethanamine,6341.0,CCN
2-Palmitoylglycerol,123409.0,CCCCCCCCCCCCCCCC(=O)OC(CO)CO
4-Hydroxybutanoic acid,10413.0,C(CC(=O)O)CO
Phloroglucinol,359.0,C1=C(C=C(C=C1O)O)O
Isonicotinic Acid,5922.0,C1=CN=CC=C1C(=O)O
"(2,5-Dimethoxyphenyl)acetone",268577.0,CC(=O)CC1=C(C=CC(=C1)OC)OC
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",91742919.0,CC(C)(C)[Si](C)(C)OC(=O)C1CCCN1C(=O)O[Si](C)(C)C(C)(C)C
(4-Fluorophenyl)phenylmethanol,570753.0,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)O
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,
"3,4,5-Trimethoxyamphetamine",31016.0,CC(CC1=CC(=C(C(=C1)OC)OC)OC)N
Oxypeucedanin,33306.0,CC1([C@@H](O1)COC2=C3C=CC(=O)OC3=CC4=C2C=CO4)C
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",597463.0,CCCC(C1=C(C=CC(=C1)OC)OC)O
"1-(2,4-Dimethoxyphenyl)-propan-2-one",592028.0,CC(=O)CC1=C(C=C(C=C1)OC)OC
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",14345506.0,CC(C(C1=C(C=CC(=C1)OC)OC)O[Si](C)(C)C)N
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",612085.0,CC1=CC(=NC(=O)N1C2=CC=C(C=C2)OC)C
1-(Cyclohexylmethyl)-4-piperidinylamine,,
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,91716313.0,CC1=CN(N=C1)[Si](C)(C)C(C)(C)C
"1,2,4-Butanetriol, (S)",,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",66540.0,CCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC
"1,2-Bis(trimethylsiloxy)cyclohexene",620980.0,C[Si](C)(C)OC1=C(CCCC1)O[Si](C)(C)C
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",553703.0,CCOC(=O)N1CC(=C2CCCCC2N1C(=O)OCC)O[Si](C)(C)C
"1,2-Cyclohexanediol, (Z)",,
"1,3-Butanediamine",61136.0,CC(CCN)N
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,
"1,3-Propanediol",10442.0,C(CO)CO
10-Undecynoic acid,31039.0,C#CCCCCCCCCC(=O)O
"13-Docosenamide, (Z)",,
1-Butanol,263.0,CCCCO
"1-Heptanol, 2-propyl-",24847.0,CCCCCC(CCC)CO
1-Hexacosanol,68171.0,CCCCCCCCCCCCCCCCCCCCCCCCCCO
1-Octadecanol,8221.0,CCCCCCCCCCCCCCCCCCO
"1-Octanol, 2-butyl-",19800.0,CCCCCCC(CCCC)CO
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",5378122.0,CCC(/C=C(/C1=CC=CC=C1)\O[Si](C)(C)C)C2=CC=CC=C2
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,
"2(5H)-Furanone, 4-(hydroxymethyl)",,
"2-(Ethylamino)ethanol, N-acetyl",24284463.0,CCN(CCO)C(=O)C
2-(Methylamino)ethanol,8016.0,CNCCO
"2,2'-Bipyridine",1474.0,C1=CC=NC(=C1)C2=CC=CC=N2
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",575921.0,CC(C(C)O[Si](C)(C)C)OC(=O)C
"2,3-Dihydroxybutanoic acid",250402.0,CC(C(C(=O)O)O)O
"2',3'-Di-O-acetyladenosine",122538.0,CC(=O)O[C@@H]1[C@H](O[C@H]([C@@H]1OC(=O)C)N2C=NC3=C(N=CN=C32)N)CO
"2,4,4'-Trihydroxybenzophenone",73852.0,C1=CC(=CC=C1C(=O)C2=C(C=C(C=C2)O)O)O
"2,4,6-Cycloheptatrien-1-one",10881.0,C1=CC=CC(=O)C=C1
"2,4-Dihydroxyacetophenone",6990.0,CC(=O)C1=C(C=C(C=C1)O)O
"2,4-Dimethoxybenzaldoxime",231242.0,COC1=CC(=C(C=C1)C=NO)OC
"2,4-Di-tert-butylphenol",7311.0,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C
"2,4-Imidazolidinedione, 5,5-dimethyl",,
